Team,DKValue,FDValue
ARI,1589.951832,2080.470724
VAN,1599.438097,1972.546683
TOR,1619.422916,2148.769515
BUF,1621.822688,2184.265869
CAR,1636.611421,2027.9885
FLA,1641.183131,2128.570903
EDM,1659.024936,2028.188892
NYI,1661.157109,2047.495993
OTT,1663.658686,1941.119338
DET,1669.158762,2111.504823
N.J,1670.566664,2215.812936
DAL,1672.17892,2109.189117
PHI,1674.625326,2158.163382
NSH,1675.056722,2166.142968
L.A,1679.353732,2098.609196
BOS,1680.922815,2213.108128
CBJ,1684.130535,2132.999741
CHI,1688.48818,2086.496294
MIN,1694.175608,2098.193509
WPG,1706.798659,2252.400335
T.B,1709.862106,2166.37896
PIT,1721.983935,2177.887396
CGY,1725.076846,2496.965927
S.J,1739.256839,2131.034559
WSH,1743.884758,2204.173895
STL,1745.321986,2319.965033
ANA,1762.200578,2237.191597
COL,1772.6509,2366.447136
MTL,1782.212234,2360.647464
NYR,1816.848601,2346.248099
